params,equity_curve
"[710, 3.5]",156.81745828918275
"[810, 3.5]",90.75691994361297
"[610, 3.5]",49.53266390987669
"[710, 2.5]",35.98681846791607
"[510, 2.5]",17.109100965296054
"[810, 4.5]",16.736136229536307
"[410, 3.5]",15.231676828902147
"[910, 2.5]",13.106680298538361
"[810, 2.5]",12.747993012248665
"[510, 4.5]",12.11692199126021
"[310, 3.5]",10.699842196497887
"[710, 4.5]",10.03790333520327
"[410, 2.5]",7.300456658708251
"[910, 3.5]",6.1709587914921284
"[710, 1.5]",5.543516044690555
"[310, 4.5]",4.346099690962099
"[610, 4.5]",4.29654364268632
"[310, 2.5]",3.4012395936703044
"[510, 3.5]",3.3658594548619063
"[410, 4.5]",3.3293560242272195
"[610, 2.5]",2.3750254049603714
"[810, 1.5]",2.3045852783138985
"[910, 1.5]",1.4686896091170505
"[10, 4.5]",1.0
"[10, 3.5]",1.0
"[210, 3.5]",0.8495632787886656
"[610, 1.5]",0.727741722777761
"[510, 1.5]",0.43215455584439966
"[310, 1.5]",0.3631835515832249
"[410, 1.5]",0.3233380365901236
"[110, 3.5]",0.09302367003339136
"[110, 4.5]",0.0869389358283209
"[210, 4.5]",0.05548600930289252
"[210, 2.5]",0.02811263451228887
"[210, 1.5]",0.0009756844708609433
"[110, 2.5]",8.630119095847542e-06
"[810, 0.5]",1.6474338589432238e-09
"[910, 0.5]",1.090968696181695e-09
"[110, 1.5]",1.0175305271952807e-09
"[710, 0.5]",4.105618107440803e-10
"[610, 0.5]",2.1106217063446565e-11
"[510, 0.5]",5.399126117788383e-13
"[410, 0.5]",4.477625366084903e-14
"[310, 0.5]",5.889788679329275e-15
"[210, 0.5]",9.900859405035531e-24
"[110, 0.5]",5.976475825960027e-36
"[10, 2.5]",2.567115014560685e-44
"[10, 1.5]",1.4648875273244588e-82
"[10, 0.5]",4.1471793474959867e-134
"[910, 4.5]",0.0
