params,equity_curve
"[270, 3.9]",6255.702799643566
"[270, 3.7]",6255.702799643566
"[270, 3.5]",6255.702799643566
"[270, 3.4]",6255.702799643566
"[270, 3.3]",6255.702799643566
"[270, 3.2]",6255.702799643566
"[270, 3.1]",6255.702799643566
"[270, 3.0]",6255.702799643566
"[270, 3.8]",6255.702799643566
"[270, 3.6]",6255.702799643566
"[430, 3.1]",5515.251931880625
"[430, 3.9]",5515.251931880625
"[430, 3.0]",5515.251931880625
"[430, 3.2]",5515.251931880625
"[430, 3.3]",5515.251931880625
"[430, 3.4]",5515.251931880625
"[430, 3.5]",5515.251931880625
"[430, 3.7]",5515.251931880625
"[430, 3.8]",5515.251931880625
"[430, 3.6]",5515.251931880625
"[440, 3.0]",3231.206670942557
"[440, 3.7]",3231.206670942557
"[440, 3.1]",3231.206670942557
"[440, 3.4]",3231.206670942557
"[440, 3.2]",3231.206670942557
"[440, 3.6]",3231.206670942557
"[440, 3.5]",3231.206670942557
"[440, 3.8]",3231.206670942557
"[440, 3.3]",3231.206670942557
"[440, 3.9]",3231.206670942557
"[240, 4.0]",3064.065102245671
"[240, 4.1]",3064.065102245671
"[240, 4.2]",3064.065102245671
"[240, 4.3]",3064.065102245671
"[240, 4.4]",3064.065102245671
"[240, 4.9]",3064.065102245671
"[240, 4.5]",3064.065102245671
"[240, 4.7]",3064.065102245671
"[240, 4.8]",3064.065102245671
"[240, 4.6]",3064.065102245671
"[230, 4.6]",2954.461946578305
"[230, 4.5]",2954.461946578305
"[230, 4.4]",2954.461946578305
"[230, 4.2]",2954.461946578305
"[230, 4.1]",2954.461946578305
"[230, 4.0]",2954.461946578305
"[230, 4.7]",2954.461946578305
"[230, 4.3]",2954.461946578305
"[230, 4.8]",2954.461946578305
"[230, 4.9]",2954.461946578305
"[460, 3.8]",2099.9949487825425
"[460, 3.0]",2099.9949487825425
"[460, 3.1]",2099.9949487825425
"[460, 3.3]",2099.9949487825425
"[460, 3.9]",2099.9949487825425
"[460, 3.2]",2099.9949487825425
"[460, 3.7]",2099.9949487825425
"[460, 3.6]",2099.9949487825425
"[460, 3.5]",2099.9949487825425
"[460, 3.4]",2099.9949487825425
"[390, 2.8]",1722.7826142486444
"[390, 2.7]",1722.7826142486444
"[390, 2.5]",1722.7826142486444
"[390, 2.4]",1722.7826142486444
"[390, 2.3]",1722.7826142486444
"[390, 2.2]",1722.7826142486444
"[390, 2.1]",1722.7826142486444
"[390, 2.0]",1722.7826142486444
"[390, 2.6]",1722.7826142486444
"[390, 2.9]",1722.7826142486444
"[450, 3.2]",1709.9715381017127
"[450, 3.9]",1709.9715381017127
"[450, 3.8]",1709.9715381017127
"[450, 3.7]",1709.9715381017127
"[450, 3.6]",1709.9715381017127
"[450, 3.1]",1709.9715381017127
"[450, 3.0]",1709.9715381017127
"[450, 3.5]",1709.9715381017127
"[450, 3.4]",1709.9715381017127
"[450, 3.3]",1709.9715381017127
"[470, 3.3]",1690.393523943623
"[470, 3.4]",1690.393523943623
"[470, 3.0]",1690.393523943623
"[470, 3.1]",1690.393523943623
"[470, 3.2]",1690.393523943623
"[470, 3.7]",1690.393523943623
"[470, 3.9]",1690.393523943623
"[470, 3.8]",1690.393523943623
"[470, 3.6]",1690.393523943623
"[470, 3.5]",1690.393523943623
"[480, 3.7]",1638.686506956861
"[480, 3.8]",1638.686506956861
"[480, 3.9]",1638.686506956861
"[480, 3.5]",1638.686506956861
"[480, 3.4]",1638.686506956861
"[480, 3.3]",1638.686506956861
"[480, 3.2]",1638.686506956861
"[480, 3.1]",1638.686506956861
"[480, 3.0]",1638.686506956861
"[480, 3.6]",1638.686506956861
"[340, 4.4]",1274.5639640161419
"[340, 4.9]",1274.5639640161419
"[340, 4.1]",1274.5639640161419
"[340, 4.2]",1274.5639640161419
"[340, 4.3]",1274.5639640161419
"[340, 4.5]",1274.5639640161419
"[340, 4.6]",1274.5639640161419
"[340, 4.7]",1274.5639640161419
"[340, 4.8]",1274.5639640161419
"[340, 4.0]",1274.5639640161419
"[290, 3.3]",1163.3938131905293
"[290, 3.6]",1163.3938131905293
"[290, 3.5]",1163.3938131905293
"[290, 3.4]",1163.3938131905293
"[290, 3.2]",1163.3938131905293
"[290, 3.1]",1163.3938131905293
"[290, 3.0]",1163.3938131905293
"[290, 3.8]",1163.3938131905293
"[290, 3.7]",1163.3938131905293
"[290, 3.9]",1163.3938131905293
"[490, 3.9]",1151.803727080005
"[490, 3.0]",1151.803727080005
"[490, 3.2]",1151.803727080005
"[490, 3.3]",1151.803727080005
"[490, 3.4]",1151.803727080005
"[490, 3.5]",1151.803727080005
"[490, 3.6]",1151.803727080005
"[490, 3.7]",1151.803727080005
"[490, 3.8]",1151.803727080005
"[490, 3.1]",1151.803727080005
"[350, 4.9]",1099.6951429512048
"[350, 4.0]",1099.6951429512048
"[350, 4.1]",1099.6951429512048
"[350, 4.2]",1099.6951429512048
"[350, 4.3]",1099.6951429512048
"[350, 4.7]",1099.6951429512048
"[350, 4.4]",1099.6951429512048
"[350, 4.5]",1099.6951429512048
"[350, 4.6]",1099.6951429512048
"[350, 4.8]",1099.6951429512048
"[360, 3.5]",1020.8785434681323
"[360, 3.9]",1020.8785434681323
"[360, 3.8]",1020.8785434681323
"[360, 3.7]",1020.8785434681323
"[360, 3.6]",1020.8785434681323
"[360, 3.4]",1020.8785434681323
"[360, 3.3]",1020.8785434681323
"[360, 3.2]",1020.8785434681323
"[360, 3.1]",1020.8785434681323
"[360, 3.0]",1020.8785434681323
"[380, 3.9]",979.1146200843359
"[380, 3.8]",979.1146200843359
"[380, 3.1]",979.1146200843359
"[380, 3.2]",979.1146200843359
"[380, 3.6]",979.1146200843359
"[380, 3.7]",979.1146200843359
"[380, 3.5]",979.1146200843359
"[380, 3.0]",979.1146200843359
"[380, 3.4]",979.1146200843359
"[380, 3.3]",979.1146200843359
"[370, 4.9]",955.3548132016233
"[370, 4.6]",955.3548132016233
"[370, 4.7]",955.3548132016233
"[370, 4.5]",955.3548132016233
"[370, 4.4]",955.3548132016233
"[370, 4.3]",955.3548132016233
"[370, 4.2]",955.3548132016233
"[370, 4.1]",955.3548132016233
"[370, 4.0]",955.3548132016233
"[370, 4.8]",955.3548132016233
"[400, 2.9]",907.7496665287784
"[400, 2.0]",907.7496665287784
"[400, 2.1]",907.7496665287784
"[400, 2.8]",907.7496665287784
"[400, 2.7]",907.7496665287784
"[400, 2.6]",907.7496665287784
"[400, 2.5]",907.7496665287784
"[400, 2.4]",907.7496665287784
"[400, 2.3]",907.7496665287784
"[400, 2.2]",907.7496665287784
"[340, 3.8]",877.0507645742498
"[340, 3.9]",877.0507645742498
"[340, 3.7]",877.0507645742498
"[340, 3.0]",877.0507645742498
"[340, 3.6]",877.0507645742498
"[340, 3.5]",877.0507645742498
"[340, 3.4]",877.0507645742498
"[340, 3.3]",877.0507645742498
"[340, 3.1]",877.0507645742498
"[340, 3.2]",877.0507645742498
"[370, 3.4]",843.2778670593704
"[370, 3.9]",843.2778670593704
"[370, 3.8]",843.2778670593704
"[370, 3.7]",843.2778670593704
"[370, 3.6]",843.2778670593704
"[370, 3.5]",843.2778670593704
"[370, 3.3]",843.2778670593704
"[370, 3.2]",843.2778670593704
"[370, 3.0]",843.2778670593704
"[370, 3.1]",843.2778670593704
"[350, 3.5]",711.1471710500924
"[350, 3.0]",711.1471710500924
"[350, 3.2]",711.1471710500924
"[350, 3.4]",711.1471710500924
"[350, 3.1]",711.1471710500924
"[350, 3.6]",711.1471710500924
"[350, 3.7]",711.1471710500924
"[350, 3.8]",711.1471710500924
"[350, 3.9]",711.1471710500924
"[350, 3.3]",711.1471710500924
"[890, 2.0]",647.7913788088838
"[890, 2.1]",647.7913788088838
"[890, 2.2]",647.7913788088838
"[890, 2.3]",647.7913788088838
"[890, 2.4]",647.7913788088838
"[890, 2.5]",647.7913788088838
"[890, 2.6]",647.7913788088838
"[890, 2.7]",647.7913788088838
"[890, 2.9]",647.7913788088838
"[890, 2.8]",647.7913788088838
"[380, 2.3]",640.9594889519835
"[380, 2.8]",640.9594889519835
"[380, 2.0]",640.9594889519835
"[380, 2.1]",640.9594889519835
"[380, 2.2]",640.9594889519835
"[380, 2.7]",640.9594889519835
"[380, 2.4]",640.9594889519835
"[380, 2.5]",640.9594889519835
"[380, 2.6]",640.9594889519835
"[380, 2.9]",640.9594889519835
"[300, 3.8]",640.2976177848244
"[300, 3.7]",640.2976177848244
"[300, 3.6]",640.2976177848244
"[300, 3.5]",640.2976177848244
"[300, 3.3]",640.2976177848244
"[300, 3.2]",640.2976177848244
"[300, 3.1]",640.2976177848244
"[300, 3.0]",640.2976177848244
"[300, 3.9]",640.2976177848244
"[300, 3.4]",640.2976177848244
"[930, 2.0]",607.0929890494243
"[930, 2.1]",607.0929890494243
"[930, 2.2]",607.0929890494243
"[930, 2.3]",607.0929890494243
"[930, 2.4]",607.0929890494243
"[930, 2.5]",607.0929890494243
"[930, 2.6]",607.0929890494243
"[930, 2.7]",607.0929890494243
"[930, 2.8]",607.0929890494243
"[930, 2.9]",607.0929890494243
"[370, 2.7]",574.6872243504616
"[370, 2.2]",574.6872243504616
"[370, 2.9]",574.6872243504616
"[370, 2.8]",574.6872243504616
"[370, 2.0]",574.6872243504616
"[370, 2.1]",574.6872243504616
"[370, 2.6]",574.6872243504616
"[370, 2.3]",574.6872243504616
"[370, 2.4]",574.6872243504616
"[370, 2.5]",574.6872243504616
"[520, 3.5]",562.2151046848669
"[520, 3.0]",562.2151046848669
"[520, 3.1]",562.2151046848669
"[520, 3.2]",562.2151046848669
"[520, 3.3]",562.2151046848669
"[520, 3.4]",562.2151046848669
"[520, 3.6]",562.2151046848669
"[520, 3.7]",562.2151046848669
"[520, 3.8]",562.2151046848669
"[520, 3.9]",562.2151046848669
"[250, 4.9]",558.5507568094737
"[250, 4.1]",558.5507568094737
"[250, 4.2]",558.5507568094737
"[250, 4.3]",558.5507568094737
"[250, 4.4]",558.5507568094737
"[250, 4.5]",558.5507568094737
"[250, 4.6]",558.5507568094737
"[250, 4.7]",558.5507568094737
"[250, 4.0]",558.5507568094737
"[250, 4.8]",558.5507568094737
"[280, 3.1]",534.2421295161347
"[280, 3.9]",534.2421295161347
"[280, 3.7]",534.2421295161347
"[280, 3.6]",534.2421295161347
"[280, 3.5]",534.2421295161347
"[280, 3.4]",534.2421295161347
"[280, 3.3]",534.2421295161347
"[280, 3.2]",534.2421295161347
"[280, 3.8]",534.2421295161347
"[280, 3.0]",534.2421295161347
"[950, 2.3]",531.7496458771557
"[950, 2.4]",531.7496458771557
"[950, 2.5]",531.7496458771557
"[950, 2.6]",531.7496458771557
"[950, 2.7]",531.7496458771557
"[950, 2.9]",531.7496458771557
"[950, 2.1]",531.7496458771557
"[950, 2.0]",531.7496458771557
"[950, 2.2]",531.7496458771557
"[950, 2.8]",531.7496458771557
"[360, 4.3]",517.6787961388011
"[360, 4.0]",517.6787961388011
"[360, 4.7]",517.6787961388011
"[360, 4.6]",517.6787961388011
"[360, 4.5]",517.6787961388011
"[360, 4.4]",517.6787961388011
"[360, 4.2]",517.6787961388011
"[360, 4.1]",517.6787961388011
"[360, 4.9]",517.6787961388011
"[360, 4.8]",517.6787961388011
"[220, 4.1]",515.8167394645396
"[220, 4.5]",515.8167394645396
"[220, 4.0]",515.8167394645396
"[220, 4.7]",515.8167394645396
"[220, 4.6]",515.8167394645396
"[220, 4.8]",515.8167394645396
"[220, 4.9]",515.8167394645396
"[220, 4.4]",515.8167394645396
"[220, 4.3]",515.8167394645396
"[220, 4.2]",515.8167394645396
"[770, 3.2]",497.05950374252546
"[770, 3.3]",497.05950374252546
"[770, 3.4]",497.05950374252546
"[770, 3.5]",497.05950374252546
"[770, 3.6]",497.05950374252546
"[770, 3.7]",497.05950374252546
"[770, 3.8]",497.05950374252546
"[770, 3.9]",497.05950374252546
"[770, 3.1]",497.05950374252546
"[770, 3.0]",497.05950374252546
"[290, 4.4]",489.8398210117189
"[290, 4.3]",489.8398210117189
"[290, 4.2]",489.8398210117189
"[290, 4.1]",489.8398210117189
"[290, 4.0]",489.8398210117189
"[290, 4.6]",489.8398210117189
"[290, 4.7]",489.8398210117189
"[290, 4.8]",489.8398210117189
"[290, 4.9]",489.8398210117189
"[290, 4.5]",489.8398210117189
"[630, 3.4]",480.8094195733614
"[630, 3.9]",480.8094195733614
"[630, 3.7]",480.8094195733614
"[630, 3.6]",480.8094195733614
"[630, 3.5]",480.8094195733614
"[630, 3.8]",480.8094195733614
"[630, 3.3]",480.8094195733614
"[630, 3.1]",480.8094195733614
"[630, 3.0]",480.8094195733614
"[630, 3.2]",480.8094195733614
"[500, 3.4]",474.0549978769874
"[500, 3.0]",474.0549978769874
"[500, 3.9]",474.0549978769874
"[500, 3.8]",474.0549978769874
"[500, 3.7]",474.0549978769874
"[500, 3.6]",474.0549978769874
"[500, 3.5]",474.0549978769874
"[500, 3.3]",474.0549978769874
"[500, 3.2]",474.0549978769874
"[500, 3.1]",474.0549978769874
"[510, 3.8]",453.4241493015839
"[510, 3.9]",453.4241493015839
"[510, 3.0]",453.4241493015839
"[510, 3.6]",453.4241493015839
"[510, 3.5]",453.4241493015839
"[510, 3.4]",453.4241493015839
