合约,最小下单量
BTCUSDT,0.001
ETHUSDT,0.001
BCHUSDT,0.001
XRPUSDT,0.1
EOSUSDT,0.1
LTCUSDT,0.001
TRXUSDT,1
ETCUSDT,0.01
LINKUSDT,0.01
XLMUSDT,1
ADAUSDT,1
XMRUSDT,0.001
DASHUSDT,0.001
ZECUSDT,0.001
XTZUSDT,0.1
BNBUSDT,0.01
ATOMUSDT,0.01
ONTUSDT,0.1
IOTAUSDT,0.1
BATUSDT,0.1
VETUSDT,1
NEOUSDT,0.01
QTUMUSDT,0.1
IOSTUSDT,1
THETAUSDT,0.1
ALGOUSDT,0.1
ZILUSDT,1
KNCUSDT,1
ZRXUSDT,0.1
COMPUSDT,0.001
OMGUSDT,0.1
DOGEUSDT,1
SXPUSDT,0.1
KAVAUSDT,0.1
BANDUSDT,0.1
RLCUSDT,0.1
WAVESUSDT,0.1
MKRUSDT,0.001
SNXUSDT,0.1
DOTUSDT,0.1
DEFIUSDT,0.001
YFIUSDT,0.001
BALUSDT,0.1
CRVUSDT,0.1
TRBUSDT,0.1
RUNEUSDT,1
SUSHIUSDT,1
SRMUSDT,1
EGLDUSDT,0.1
SOLUSDT,1
ICXUSDT,1
STORJUSDT,1
BLZUSDT,1
UNIUSDT,1
AVAXUSDT,1
FTMUSDT,1
HNTUSDT,1
ENJUSDT,1
FLMUSDT,1
TOMOUSDT,1
RENUSDT,1
KSMUSDT,0.1
NEARUSDT,1
AAVEUSDT,0.1
FILUSDT,0.1
RSRUSDT,1
LRCUSDT,1
MATICUSDT,1
OCEANUSDT,1
CVCUSDT,1
BELUSDT,1
CTKUSDT,1
AXSUSDT,1
ALPHAUSDT,1
ZENUSDT,0.1
SKLUSDT,1
GRTUSDT,1
1INCHUSDT,1
BTCBUSD,0.001
CHZUSDT,1
SANDUSDT,1
ANKRUSDT,1
BTSUSDT,1
LITUSDT,0.1
UNFIUSDT,0.1
REEFUSDT,1
RVNUSDT,1
SFPUSDT,1
XEMUSDT,1
BTCSTUSDT,0.1
COTIUSDT,1
CHRUSDT,1
MANAUSDT,1
ALICEUSDT,0.1
HBARUSDT,1
ONEUSDT,1
LINAUSDT,1
STMXUSDT,1
DENTUSDT,1
CELRUSDT,1
HOTUSDT,1
MTLUSDT,1
OGNUSDT,1
NKNUSDT,1
SCUSDT,1
DGBUSDT,1
1000SHIBUSDT,1
ICPUSDT,0.01
BAKEUSDT,1
GTCUSDT,0.1
ETHBUSD,0.001
BTCDOMUSDT,0.001
TLMUSDT,1
BNBBUSD,0.01
ADABUSD,1
XRPBUSD,0.1
IOTXUSDT,1
DOGEBUSD,1
AUDIOUSDT,1
RAYUSDT,0.1
C98USDT,1
MASKUSDT,1
ATAUSDT,1
SOLBUSD,1
FTTBUSD,0.1
DYDXUSDT,0.1
1000XECUSDT,1
GALAUSDT,1
CELOUSDT,0.1
ARUSDT,0.1
KLAYUSDT,0.1
ARPAUSDT,1
CTSIUSDT,1
LPTUSDT,0.1
ENSUSDT,0.1
PEOPLEUSDT,1
ANTUSDT,0.1
ROSEUSDT,1
DUSKUSDT,1
FLOWUSDT,0.1
IMXUSDT,1
API3USDT,0.1
GMTUSDT,1
APEUSDT,1
BNXUSDT,0.1
WOOUSDT,1
FTTUSDT,0.1
JASMYUSDT,1
DARUSDT,0.1
GALUSDT,1
AVAXBUSD,0.1
NEARBUSD,0.1
GMTBUSD,0.1
APEBUSD,0.1
GALBUSD,1
FTMBUSD,1
DODOBUSD,1
ANCBUSD,1
GALABUSD,1
TRXBUSD,1
1000LUNCBUSD,1
LUNA2BUSD,1
OPUSDT,0.1
DOTBUSD,0.1
TLMBUSD,1
ICPBUSD,0.1
BTCUSDT_220930,0.001
ETHUSDT_220930,0.001
WAVESBUSD,0.1
LINKBUSD,0.1
SANDBUSD,0.1
LTCBUSD,0.01
MATICBUSD,1
CVXBUSD,0.1
FILBUSD,0.1
1000SHIBBUSD,1
LEVERBUSD,1
ETCBUSD,0.1
LDOBUSD,0.1
UNIBUSD,0.1
AUCTIONBUSD,0.1
INJUSDT,0.1
STGUSDT,1
FOOTBALLUSDT,0.01
SPELLUSDT,1
1000LUNCUSDT,1
LUNA2USDT,1
